device_id,ipei,device_location,location_name
VOCO_K111,0328E84135,Handbags 5,ST_UKTK_0183(40/9)_Thurrock
VOCO_K109,0328E8405E,Home Dept,ST_UKTK_0183(40/9)_Thurrock
VOCO_K104,0328E841FC,Jewellery 2,ST_UKTK_0183(40/9)_Thurrock
VOCO_K102,0328E406E7,Mens Gold,ST_UKTK_0183(40/9)_Thurrock
VOCO_K103,0328E9CF32,Click and Collect,ST_UKTK_0184(20/01/03)_Lisburn_New
VOCO_K102,0328E891CF,Jewellery 1,ST_UKTK_0184(20/01/03)_Lisburn_New
VOCO_K101,0328D33826,Sales Floor 1,ST_UKTK_0184(20/01/03)_Lisburn_New
VOCO_K105,0328E9CD10,Fragrance 1,ST_UKTK_0206(23/4)_Paisley
VOCO_K101,0328E8434C,Handbags 1,ST_UKTK_0206(23/4)_Paisley
VOCO_K104,0328E843D5,Handbags 4,ST_UKTK_0206(23/4)_Paisley
VOCO_K105,0328E86F4D,Click and Collect 1,ST_UKTK_0224(25/05/02)_Uxbridge
VOCO_K103,0328E7B9BE,Click and Collect 2,ST_UKTK_0224(25/05/02)_Uxbridge
VOCO_K101,0328EA13C9,Fragrance,ST_UKTK_0224(25/05/02)_Uxbridge
VOCO_K106,0328E86FF4,Fragrance 1,ST_UKTK_0224(25/05/02)_Uxbridge
VOCO_K102,0328E83381,Jewellery 1,ST_UKTK_0224(25/05/02)_Uxbridge
VOCO_K103,0328E745E6,Click and Collect,ST_UKTK_0238(35/05) Watford Atria
VOCO_K102,0328E745E5,Click and Collect 1,ST_UKTK_0238(35/05) Watford Atria
VOCO_K101,0328E745E9,Fragrance,ST_UKTK_0238(35/05) Watford Atria
VOCO_K106,0328E88CD8,Fragrance 2,ST_UKTK_0238(35/05) Watford Atria
VOCO_K104,0328E84328,Gold Label Handbags,ST_UKTK_0238(35/05) Watford Atria
VOCO_K105,0328E406E5,Gold Label Handbags 1,ST_UKTK_0238(35/05) Watford Atria
VOCO_K107,0328E407E5,Gold Label Handbags 2,ST_UKTK_0238(35/05) Watford Atria
VOCO_K110,0328E840A4,Jewellery 1,ST_UKTK_0238(35/05) Watford Atria
VOCO_K108,0328EA1396,Mens Gold,ST_UKTK_0238(35/05) Watford Atria
VOCO_K109,0328EA12C0,Mens Gold Label 1,ST_UKTK_0238(35/05) Watford Atria
VOCO_K103,0328E7B8CF,Click and Collect,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K108,0328E4081C,Fragrance 1,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K111,0328E84055,Fragrance 2,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K117,0328E84107,Fragrance 3,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K101,0328E9CD19,Fragrance 4,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K107,0328E9CC76,Fragrance5,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K119,0328E89399,Gold label Handbag 2,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K106,0328E40892,Handbag 2,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K110,0328E84061,Handbags 3,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K112,0328E8416E,Handbags 4,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K113,0328E8414A,Handbags 5,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K115,0328E841AB,Handbags 7,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K116,0328E841A6,Handbags 8,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K102,0328E7B7E3,Jewellery 1,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K104,0328E4083A,Jewellery 2,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K105,0328E407DF,Jewellery 3,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K114,0328E8415F,Mens Gold,ST_UKTK_0249(73/10)_Hammersmith
VOCO_K101,0328E32759,Click and Collect,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K102,0328E40847,Fragrance,ST_UKTK_0256(34/5)_Leyton Mills
