snapshot_file,processed_time
TJX_VCV33x0_2026-04-24_15-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_16-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_17-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_18-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_19-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_20-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_21-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_22-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-24_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_01-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_03-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_05-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_06-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_07-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_08-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_09-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_10-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_11-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_12-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_13-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_14-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_15-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_16-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_17-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_18-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_22-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-25_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_06-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_09-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_10-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_11-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_12-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_13-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_14-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_15-30-08.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_16-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_19-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-26_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_02-30-11.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-27_03-30-10.csv,2026-05-06T12:23:14.212655
